ent_fed,sexo,edad,estudiaron_licenciatura
Hidalgo,Mujeres,14,0
Hidalgo,Mujeres,15,0
Hidalgo,Mujeres,16,0
Hidalgo,Mujeres,17,0
Hidalgo,Mujeres,18,1791
Hidalgo,Mujeres,19,5193
Hidalgo,Mujeres,20,8259
Hidalgo,Mujeres,21,7813
Hidalgo,Mujeres,22,8569
Hidalgo,Mujeres,23,7838
Hidalgo,Mujeres,24,7801
Jalisco,Hombres,3,0
Jalisco,Hombres,4,0
Jalisco,Hombres,5,0
Jalisco,Hombres,6,0
Jalisco,Hombres,7,0
Jalisco,Hombres,8,0
Jalisco,Hombres,9,0
Jalisco,Hombres,10,0
Jalisco,Hombres,11,0
Jalisco,Hombres,12,0
Jalisco,Hombres,13,0
Jalisco,Hombres,14,0
Jalisco,Hombres,15,0
Jalisco,Hombres,16,0
Jalisco,Hombres,17,0
Jalisco,Hombres,18,3425
Jalisco,Hombres,19,8697
Jalisco,Hombres,20,15822
Jalisco,Hombres,21,17279
Jalisco,Hombres,22,19846
Jalisco,Hombres,23,19901
Jalisco,Hombres,24,20144
Jalisco,Mujeres,3,0
Jalisco,Mujeres,4,0
Jalisco,Mujeres,5,0
Jalisco,Mujeres,6,0
Jalisco,Mujeres,7,0
Jalisco,Mujeres,8,0
Jalisco,Mujeres,9,0
Jalisco,Mujeres,10,0
Jalisco,Mujeres,11,0
Jalisco,Mujeres,12,0
Jalisco,Mujeres,13,0
Jalisco,Mujeres,14,0
Jalisco,Mujeres,15,0
Jalisco,Mujeres,16,0
Jalisco,Mujeres,17,0
Jalisco,Mujeres,18,4165
Jalisco,Mujeres,19,11011
Jalisco,Mujeres,20,19016
Jalisco,Mujeres,21,20169
Jalisco,Mujeres,22,22672
Jalisco,Mujeres,23,22269
Jalisco,Mujeres,24,22012
México,Hombres,3,0
México,Hombres,4,0
México,Hombres,5,0
México,Hombres,6,0
México,Hombres,7,0
México,Hombres,8,0
México,Hombres,9,0
México,Hombres,10,0
México,Hombres,11,0
México,Hombres,12,0
México,Hombres,13,0
México,Hombres,14,0
México,Hombres,15,0
México,Hombres,16,0
México,Hombres,17,0
México,Hombres,18,10980
México,Hombres,19,24977
México,Hombres,20,41444
México,Hombres,21,39834
México,Hombres,22,45256
México,Hombres,23,42355
México,Hombres,24,41231
México,Mujeres,3,0
México,Mujeres,4,0
México,Mujeres,5,0
México,Mujeres,6,0
México,Mujeres,7,0
México,Mujeres,8,0
México,Mujeres,9,0
México,Mujeres,10,0
México,Mujeres,11,0
México,Mujeres,12,0
México,Mujeres,13,0
México,Mujeres,14,0
México,Mujeres,15,0
México,Mujeres,16,0
México,Mujeres,17,0
México,Mujeres,18,13493
México,Mujeres,19,31010
México,Mujeres,20,49250
México,Mujeres,21,45602
México,Mujeres,22,50440
México,Mujeres,23,47216
México,Mujeres,24,45749
Michoacán de Ocampo,Hombres,3,0
Michoacán de Ocampo,Hombres,4,0
Michoacán de Ocampo,Hombres,5,0
Michoacán de Ocampo,Hombres,6,0
Michoacán de Ocampo,Hombres,7,0
Michoacán de Ocampo,Hombres,8,0
Michoacán de Ocampo,Hombres,9,0
Michoacán de Ocampo,Hombres,10,0
Michoacán de Ocampo,Hombres,11,0
Michoacán de Ocampo,Hombres,12,0
Michoacán de Ocampo,Hombres,13,0
Michoacán de Ocampo,Hombres,14,0
Michoacán de Ocampo,Hombres,15,0
Michoacán de Ocampo,Hombres,16,0
Michoacán de Ocampo,Hombres,17,0
Michoacán de Ocampo,Hombres,18,1730
Michoacán de Ocampo,Hombres,19,4856
Michoacán de Ocampo,Hombres,20,8112
Michoacán de Ocampo,Hombres,21,8160
Michoacán de Ocampo,Hombres,22,9244
Michoacán de Ocampo,Hombres,23,8906
Michoacán de Ocampo,Hombres,24,8618
Michoacán de Ocampo,Mujeres,3,0
Michoacán de Ocampo,Mujeres,4,0
Michoacán de Ocampo,Mujeres,5,0
Michoacán de Ocampo,Mujeres,6,0
Michoacán de Ocampo,Mujeres,7,0
Michoacán de Ocampo,Mujeres,8,0
Michoacán de Ocampo,Mujeres,9,0
Michoacán de Ocampo,Mujeres,10,0
Michoacán de Ocampo,Mujeres,11,0
Michoacán de Ocampo,Mujeres,12,0
Michoacán de Ocampo,Mujeres,13,0
Michoacán de Ocampo,Mujeres,14,0
Michoacán de Ocampo,Mujeres,15,0
Michoacán de Ocampo,Mujeres,16,0
Michoacán de Ocampo,Mujeres,17,0
Michoacán de Ocampo,Mujeres,18,2213
Michoacán de Ocampo,Mujeres,19,6458
Michoacán de Ocampo,Mujeres,20,9988
Michoacán de Ocampo,Mujeres,21,9554
Michoacán de Ocampo,Mujeres,22,10570
Michoacán de Ocampo,Mujeres,23,10081
Michoacán de Ocampo,Mujeres,24,9667
Morelos,Hombres,3,0
Morelos,Hombres,4,0
Morelos,Hombres,5,0
Morelos,Hombres,6,0
Morelos,Hombres,7,0
Morelos,Hombres,8,0
Morelos,Hombres,9,0
Morelos,Hombres,10,0
Morelos,Hombres,11,0
Morelos,Hombres,12,0
Morelos,Hombres,13,0
Morelos,Hombres,14,0
Morelos,Hombres,15,0
Morelos,Hombres,16,0
Morelos,Hombres,17,0
Morelos,Hombres,18,798
Morelos,Hombres,19,2009
Morelos,Hombres,20,3857
Morelos,Hombres,21,4062
Morelos,Hombres,22,4688
Morelos,Hombres,23,4520
Morelos,Hombres,24,4526
Morelos,Mujeres,3,0
Morelos,Mujeres,4,0
Morelos,Mujeres,5,0
Morelos,Mujeres,6,0
Morelos,Mujeres,7,0
Morelos,Mujeres,8,0
Morelos,Mujeres,9,0
Morelos,Mujeres,10,0
Morelos,Mujeres,11,0
Morelos,Mujeres,12,0
Morelos,Mujeres,13,0
Morelos,Mujeres,14,0
Morelos,Mujeres,15,0
Morelos,Mujeres,16,0
